Year;DOY;millisecs;B;Bx;By;Bz;Btheta;Bphi;Vx;Vy;Vz;Np
2005;163;25975201;23.56;-5.85;22.71;2.15;5.24;104.44;-372.2;-32.3;-25.0;44.5
2005;163;26072457;22.69;-6.14;21.81;1.05;2.66;105.73;-370.8;-34.8;-32.9;46.4
2005;163;26165994;23.46;-6.08;22.50;0.70;1.72;105.13;-371.7;-34.5;-16.8;47.5
2005;163;26266970;23.26;-6.27;22.21;-0.02;-0.06;105.77;-373.9;-40.2;-15.8;45.7
2005;163;26358150;23.17;-10.30;20.16;4.88;12.17;117.06;-365.4;-29.4;-28.9;45.5
2005;163;26452367;23.13;-10.21;19.98;5.52;13.83;117.06;-363.8;-24.9;-27.4;48.4
2005;163;26555705;22.49;-9.46;19.69;5.33;13.72;115.66;-364.4;-29.4;-28.9;47.5
2005;163;26652960;22.29;-8.97;19.88;4.57;11.85;114.28;-366.2;-29.2;-26.1;48.4
2005;163;26748699;21.89;-8.27;19.97;3.40;8.93;112.49;-369.1;-29.9;-21.1;49.0
2005;163;26844435;22.77;-10.84;19.47;4.47;11.34;119.10;-368.3;-33.9;-21.9;44.2
2005;163;26944732;23.43;-12.22;18.85;6.49;16.12;122.96;-367.6;-37.1;-20.9;41.6
2005;163;27041988;24.02;-10.73;21.11;3.21;7.73;116.94;-370.2;-36.9;-21.3;37.4
2005;163;27136208;24.44;-12.19;20.66;4.61;10.88;120.54;-367.5;-40.0;-23.4;35.8
2005;163;27233464;24.04;-13.03;19.66;4.55;10.92;123.53;-367.8;-38.5;-26.1;36.4
2005;163;27330722;24.15;-13.44;19.29;5.37;12.87;124.87;-363.3;-35.4;-23.0;33.9
2005;163;27424939;23.64;-16.01;15.75;7.19;17.75;135.47;-360.9;-30.4;-26.0;39.4
2005;163;27528275;24.06;-17.05;15.45;6.93;16.76;137.81;-357.7;-33.5;-26.5;35.7
2005;163;27625531;24.77;-17.34;16.35;6.68;15.65;136.68;-352.8;-38.3;-24.3;33.0
2005;163;27729007;25.11;-16.47;18.00;5.86;13.51;132.46;-355.7;-47.6;-28.0;31.8
2005;163;27826265;24.91;-15.77;18.32;5.99;13.91;130.73;-357.0;-51.2;-30.9;33.2
2005;163;27920482;24.59;-15.09;18.45;6.03;14.19;129.28;-359.5;-48.6;-26.6;32.0
2005;163;28008482;23.84;-14.85;17.74;5.64;13.70;129.95;-364.2;-37.6;-27.0;37.9
2005;163;28105740;23.62;-14.54;17.40;6.58;16.19;129.89;-362.2;-35.5;-34.2;38.5
2005;163;28203033;23.88;-14.61;17.45;7.22;17.60;129.95;-364.9;-36.3;-28.2;37.2
